kingdom,year,n
Protozoa,1937,811
Protozoa,1936,782
Protozoa,1926,327
Protozoa,1935,836
Protozoa,1939,660
Protozoa,1929,280
Protozoa,1928,625
Protozoa,1895,162
Protozoa,1931,619
Protozoa,1898,160
Protozoa,1894,179
Protozoa,1893,223
Protozoa,1916,129
Protozoa,1896,592
Protozoa,1933,509
Protozoa,1897,638
Protozoa,1924,330
Protozoa,1927,385
Protozoa,1912,243
Protozoa,1934,758
Protozoa,1914,176
Chromista,1882,469
Protozoa,1956,174
Animalia,1697,2
Animalia,1698,3
Animalia,1837,269
Animalia,1848,146
Protozoa,1919,95
Protozoa,1979,827
Protozoa,1917,216
Chromista,1945,328
Chromista,1929,522
Plantae,1814,92
Chromista,1951,5810
Chromista,1871,61
Bacteria,1901,549
Protozoa,1980,1198
Chromista,1940,570
Bacteria,1993,522
Bacteria,1905,414
Bacteria,1869,31
Bacteria,1895,497
Animalia,1840,516
incertae sedis,1896,500
Chromista,1862,26
incertae sedis,1909,857
Bacteria,1879,46
Animalia,1863,1310
Chromista,1864,39
Bacteria,1889,108
Bacteria,1907,108
Plantae,1802,46
Chromista,1915,436
Bacteria,1896,561
Chromista,1837,4
Protozoa,1976,933
Fungi,1843,91
Fungi,1853,274
Chromista,1875,160
Protozoa,1966,793
Protozoa,1984,1307
Protozoa,1921,110
Protozoa,2001,972
Animalia,1856,992
Chromista,1988,1579
Animalia,1838,226
Chromista,2002,33197
Chromista,2003,44058
Chromista,1993,4917
incertae sedis,1910,830
Fungi,1858,155
Bacteria,1900,472
Bacteria,1953,588
Bacteria,1924,66
Bacteria,1908,228
Bacteria,1945,346
Chromista,1986,914
Bacteria,1956,464
Chromista,1872,113
Chromista,1983,1126
Fungi,1870,202
Chromista,1924,503
Animalia,1842,206
Chromista,1957,4607
Bacteria,1935,136
Chromista,1912,379
Protozoa,1925,319
Bacteria,1918,109
Chromista,1930,520
Bacteria,1961,163
Plantae,1823,187
Bacteria,1916,168
Plantae,1825,307
Bacteria,1848,1
Bacteria,1891,247
Protozoa,1971,591
Protozoa,1967,1509
Protozoa,1946,258
Protozoa,1888,245
Protozoa,1964,410
Protozoa,1965,871
Protozoa,1973,413
Protozoa,1978,637
Protozoa,1977,818
Protozoa,1891,184
Protozoa,1981,1458
Protozoa,1987,414
Chromista,1881,132
Fungi,1855,366
Bacteria,1893,281
Protozoa,1951,221
Protozoa,1972,1044
Protozoa,1985,1022
Protozoa,1988,909
Chromista,1876,85
Bacteria,1959,219
Chromista,1990,1454
Chromista,1985,997
Bacteria,1909,128
Chromista,1874,252
Animalia,1846,161
Bacteria,1977,97
Bacteria,1902,406
Bacteria,1886,14
Animalia,1835,149
Bacteria,1841,3
Animalia,1841,1677
incertae sedis,1860,39
incertae sedis,1914,691
Bacteria,1921,15
Bacteria,1962,110
Animalia,1850,2998
Bacteria,1967,65
Chromista,1952,502
Protozoa,1915,113
Plantae,1807,38
Bacteria,1887,27
Protozoa,1949,321
Chromista,1987,2491
Bacteria,1910,76
Plantae,1601,9
Animalia,1824,30
Protozoa,1957,159
Protozoa,1920,274
Plantae,1724,5
Plantae,1782,6
Plantae,1810,88
Plantae,1820,207
Animalia,1852,404
Fungi,1872,122
Fungi,1864,313
Fungi,1851,331
Fungi,1850,167
Fungi,1849,489
Plantae,1779,38
Plantae,1789,3
Plantae,1785,6
Plantae,1787,23
Chromista,1856,66
incertae sedis,1921,1054
Bacteria,1911,79
Plantae,1803,69
Bacteria,1883,58
Chromista,1865,23
Bacteria,1881,38
Chromista,1901,564
Bacteria,1884,67
Plantae,1788,14
incertae sedis,1897,445
Bacteria,1878,40
Plantae,1781,12
Chromista,1860,21
Bacteria,1872,13
Animalia,1839,179
Animalia,1847,682
Protozoa,2000,27259
Protozoa,1899,223
Protozoa,1906,220
Protozoa,1968,1139
Protozoa,1990,541
Protozoa,1962,563
Protozoa,2008,943
